Name,Type,Product,Activity,Database
SUV_CNG_SD,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_CNG_SD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_CSNG_ELD,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_CSNG_ELD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_CSNG_LD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_CSNG_LD,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_CSNG_MD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_CSNG_MD,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_CSNG_SD,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_CSNG_SD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_DIESEL_ELD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_DIESEL_ELD,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_DIESEL_LD,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_DIESEL_LD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_DIESEL_MD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_DIESEL_MD,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_DIESEL_SD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_DIESEL_SD,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E10_ELD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E10_ELD,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E10_LD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E10_LD,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E10_MD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E10_MD,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E10_SD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E10_SD,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E85_ELD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E85_ELD,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E85_LD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E85_LD,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E85_MD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E85_MD,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E85_SD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_ETOH_E85_SD,Construction,"Passenger car, EURO-6ab","Passenger car, diesel, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_EV_ELD,Construction,passenger car,"passenger car, battery electric, Large SUV","image, remind, message, tiam-ucl"
SUV_EV_ELD,Operation,"transport, passenger car","transport, passenger car, battery electric, Large SUV","image, remind, message, tiam-ucl"
SUV_EV_LD,Operation,"transport, passenger car","transport, passenger car, battery electric, Large SUV","image, remind, message, tiam-ucl"
SUV_EV_LD,Construction,passenger car,"passenger car, battery electric, Large SUV","image, remind, message, tiam-ucl"
SUV_EV_MD,Construction,passenger car,"passenger car, battery electric, Large SUV","image, remind, message, tiam-ucl"
SUV_EV_MD,Operation,"transport, passenger car","transport, passenger car, battery electric, Large SUV","image, remind, message, tiam-ucl"
SUV_EV_SD,Operation,"transport, passenger car","transport, passenger car, battery electric, Large SUV","image, remind, message, tiam-ucl"
SUV_EV_SD,Construction,passenger car,"passenger car, battery electric, Large SUV","image, remind, message, tiam-ucl"
SUV_FC_H2_ELD,Operation,"transport, passenger car","transport, passenger car, fuel cell electric, Large SUV","image, remind, message, tiam-ucl"
SUV_FC_H2_ELD,Construction,passenger car,"passenger car, fuel cell electric, Large SUV","image, remind, message, tiam-ucl"
SUV_FC_H2_LD,Operation,"transport, passenger car","transport, passenger car, fuel cell electric, Large SUV","image, remind, message, tiam-ucl"
SUV_FC_H2_LD,Construction,passenger car,"passenger car, fuel cell electric, Large SUV","image, remind, message, tiam-ucl"
SUV_FC_H2_MD,Operation,"transport, passenger car","transport, passenger car, fuel cell electric, Large SUV","image, remind, message, tiam-ucl"
SUV_FC_H2_MD,Construction,passenger car,"passenger car, fuel cell electric, Large SUV","image, remind, message, tiam-ucl"
SUV_FC_H2_SD,Operation,"transport, passenger car","transport, passenger car, fuel cell electric, Large SUV","image, remind, message, tiam-ucl"
SUV_FC_H2_SD,Construction,passenger car,"passenger car, fuel cell electric, Large SUV","image, remind, message, tiam-ucl"
SUV_GASOLINE_ELD,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_GASOLINE_ELD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_GASOLINE_LD,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_GASOLINE_LD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_GASOLINE_MD,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_GASOLINE_MD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_GASOLINE_SD,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_GASOLINE_SD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_HY_GASOLINE_ELD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_HY_GASOLINE_ELD,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_HY_GASOLINE_LD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_HY_GASOLINE_LD,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_HY_GASOLINE_MD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_HY_GASOLINE_MD,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_HY_GASOLINE_SD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_HY_GASOLINE_SD,Construction,"Passenger car, EURO-6ab","Passenger car, gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PHEV_GASOLINE_ELD,Construction,"Passenger car, EURO-6ab","Passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PHEV_GASOLINE_ELD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PHEV_GASOLINE_LD,Construction,"Passenger car, EURO-6ab","Passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PHEV_GASOLINE_LD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PHEV_GASOLINE_MD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PHEV_GASOLINE_MD,Construction,"Passenger car, EURO-6ab","Passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PHEV_GASOLINE_SD,Construction,"Passenger car, EURO-6ab","Passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PHEV_GASOLINE_SD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, plugin gasoline hybrid, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PROPANE_ELD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PROPANE_ELD,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PROPANE_LD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PROPANE_LD,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PROPANE_MD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PROPANE_MD,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PROPANE_SD,Operation,"transport, passenger car, EURO-6ab","transport, passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
SUV_PROPANE_SD,Construction,"Passenger car, EURO-6ab","Passenger car, compressed gas, Large SUV, EURO-6ab","image, remind, message, tiam-ucl"
TIDAL,Construction,wave energy converter platform,wave energy converter platform production,"image, remind, message, tiam-ucl"
TIDAL,Operation,"electricity, high voltage","electricity production, wave energy converter","image, remind, message, tiam-ucl"
TOLUENE,Resource,"toluene, liquid","market for toluene, liquid","image, remind, message, tiam-ucl"
TOLUENE,Flow,"toluene, liquid","market for toluene, liquid","image, remind, message, tiam-ucl"
TRAFO_EH,Operation,"electricity, high voltage","market for electricity, high voltage","image, remind, message, tiam-ucl"
TRAFO_HE,Operation,"electricity, high voltage","market for electricity, high voltage","image, remind, message, tiam-ucl"
TRAFO_HM,Operation,"electricity, high voltage","market for electricity, high voltage","image, remind, message, tiam-ucl"
TRAFO_LM,Operation,"electricity, low voltage","market for electricity, low voltage","image, remind, message, tiam-ucl"
TRAFO_MH,Operation,"electricity, medium voltage","market for electricity, medium voltage","image, remind, message, tiam-ucl"
TRAFO_ML,Operation,"electricity, medium voltage","market for electricity, medium voltage","image, remind, message, tiam-ucl"
TRAIN_BIODIESEL_ELD,Operation,"transport, passenger, train, fleet average","transport, passenger, train, fleet average","image, remind, message, tiam-ucl"
TRAIN_BIODIESEL_ELD,Construction,"train, passenger, long-distance","train production, passenger, long-distance","image, remind, message, tiam-ucl"
TRAIN_BIODIESEL_LD,Construction,"train, passenger, long-distance","train production, passenger, long-distance","image, remind, message, tiam-ucl"
TRAIN_BIODIESEL_LD,Operation,"transport, passenger, train, fleet average","transport, passenger, train, fleet average","image, remind, message, tiam-ucl"
TRAIN_DIESEL_ELD,Operation,"transport, passenger, train, fleet average","transport, passenger, train, fleet average","image, remind, message, tiam-ucl"
TRAIN_DIESEL_ELD,Construction,"train, passenger, long-distance","train production, passenger, long-distance","image, remind, message, tiam-ucl"
TRAIN_DIESEL_LD,Construction,"train, passenger, long-distance","train production, passenger, long-distance","image, remind, message, tiam-ucl"
TRAIN_DIESEL_LD,Operation,"transport, passenger, train, fleet average","transport, passenger, train, fleet average","image, remind, message, tiam-ucl"
TRAIN_ELEC_ELD,Operation,"transport, passenger, train, fleet average","transport, passenger, train, electric high-speed","image, remind, message, tiam-ucl"
TRAIN_ELEC_ELD,Construction,"train, passenger, high speed","market for train, passenger, high speed","image, remind, message, tiam-ucl"
TRAIN_ELEC_LD,Operation,"transport, passenger, train, fleet average","transport, passenger, train, electric high-speed","image, remind, message, tiam-ucl"
TRAIN_ELEC_LD,Construction,"train, passenger, high speed","market for train, passenger, high speed","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_BIODIESEL_ELD,Operation,"transport, freight, train, fleet average","transport, freight, train, diesel","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_BIODIESEL_ELD_LOC,Construction,locomotive,locomotive production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_BIODIESEL_ELD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_BIODIESEL_LD,Operation,"transport, freight, train, fleet average","transport, freight, train, diesel","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_BIODIESEL_LD_LOC,Construction,locomotive,locomotive production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_BIODIESEL_LD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_DIESEL_ELD,Operation,"transport, freight, train, fleet average","transport, freight, train, diesel","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_DIESEL_ELD_LOC,Construction,locomotive,locomotive production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_DIESEL_ELD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_DIESEL_LD,Operation,"transport, freight, train, fleet average","transport, freight, train, diesel","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_DIESEL_LD_LOC,Construction,locomotive,locomotive production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_DIESEL_LD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_ELEC_ELD,Operation,"transport, freight, train, fleet average","transport, freight, train, electric","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_ELEC_ELD_LOC,Construction,locomotive,locomotive production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_ELEC_ELD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_ELEC_LD,Operation,"transport, freight, train, fleet average","transport, freight, train, electric","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_ELEC_LD_LOC,Construction,locomotive,locomotive production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_ELEC_LD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_H2_ELD,Operation,"transport, freight train","transport, freight train, fuel cell, hydrogen","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_H2_ELD_LOC,Construction,"locomotive fuel cell, hydrogen","production of locomotive, fuel cell, hydrogen","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_H2_ELD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_H2_HYBRID_ELD,Operation,"transport, freight, train, fleet average","transport, freight, train, electric","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_H2_HYBRID_ELD_LOC,Construction,locomotive,locomotive production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_H2_HYBRID_ELD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_H2_HYBRID_LD,Operation,"transport, freight, train, fleet average","transport, freight, train, electric","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_H2_HYBRID_LD_LOC,Construction,locomotive,locomotive production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_H2_HYBRID_LD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_H2_LD,Operation,"transport, freight train","transport, freight train, fuel cell, hydrogen","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_H2_LD_LOC,Construction,"locomotive fuel cell, hydrogen","production of locomotive, fuel cell, hydrogen","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_H2_LD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_NG_ELD,Operation,"transport, freight, train, fleet average","transport, freight, train, diesel","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_NG_ELD_LOC,Construction,locomotive,locomotive production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_NG_ELD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_NG_LD,Operation,"transport, freight, train, fleet average","transport, freight, train, diesel","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_NG_LD_LOC,Construction,locomotive,locomotive production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_NG_LD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_SNG_ELD,Operation,"transport, freight, train, fleet average","transport, freight, train, diesel","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_SNG_ELD_LOC,Construction,locomotive,locomotive production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_SNG_ELD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_SNG_LD,Operation,"transport, freight, train, fleet average","transport, freight, train, diesel","image, remind, message, tiam-ucl"
TRAIN_FREIGHT_SNG_LD_LOC,Construction,locomotive,locomotive production,"image, remind, message, tiam-ucl"
TRAIN_FREIGHT_SNG_LD_WAG,Construction,goods wagon,goods wagon production,"image, remind, message, tiam-ucl"
TRAIN_H2_ELD,Operation,"transport, passenger, train, fleet average","transport, passenger, train, fleet average","image, remind, message, tiam-ucl"
TRAIN_H2_ELD,Construction,"train, passenger, long-distance","train production, passenger, long-distance","image, remind, message, tiam-ucl"
TRAIN_H2_LD,Operation,"transport, passenger, train, fleet average","transport, passenger, train, fleet average","image, remind, message, tiam-ucl"
TRAIN_H2_LD,Construction,"train, passenger, long-distance","train production, passenger, long-distance","image, remind, message, tiam-ucl"
TRAIN_NG_ELD,Operation,"transport, passenger, train, fleet average","transport, passenger, train, fleet average","image, remind, message, tiam-ucl"
TRAIN_NG_ELD,Construction,"train, passenger, long-distance","train production, passenger, long-distance","image, remind, message, tiam-ucl"
TRAIN_NG_LD,Operation,"transport, passenger, train, fleet average","transport, passenger, train, fleet average","image, remind, message, tiam-ucl"
TRAIN_NG_LD,Construction,"train, passenger, long-distance","train production, passenger, long-distance","image, remind, message, tiam-ucl"
TRAIN_SNG_ELD,Operation,"transport, passenger, train, fleet average","transport, passenger, train, fleet average","image, remind, message, tiam-ucl"
TRAIN_SNG_ELD,Construction,"train, passenger, long-distance","train production, passenger, long-distance","image, remind, message, tiam-ucl"
TRAIN_SNG_LD,Operation,"transport, passenger, train, fleet average","transport, passenger, train, fleet average","image, remind, message, tiam-ucl"
TRAIN_SNG_LD,Construction,"train, passenger, long-distance","train production, passenger, long-distance","image, remind, message, tiam-ucl"
TRAMWAY_SD,Construction,tram,tram production,"image, remind, message, tiam-ucl"
TRAMWAY_SD,Operation,"transport, passenger, tram, electric","transport, passenger, tram, electric","image, remind, message, tiam-ucl"
TRUCK_LH_BIODIESEL_B100_LD,Construction,truck,"lorry production, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_BIODIESEL_B100_LD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_BIODIESEL_B20_LD,Construction,truck,"lorry production, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_BIODIESEL_B20_LD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_CNG_LD,Construction,truck,"lorry production, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_CNG_LD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_CSNG_LD,Construction,truck,"lorry production, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_CSNG_LD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_DIESEL_LD,Construction,truck,"lorry production, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_DIESEL_LD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_EV_LD,Operation,"transport, freight, lorry","transport, freight, lorry, battery electric, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_EV_LD,Construction,truck,"lorry production, battery electric, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_GASOLINE_LD,Construction,truck,"lorry production, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_GASOLINE_LD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_HY_DIESEL_LD,Construction,truck,"lorry production, diesel hybrid, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_HY_DIESEL_LD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel hybrid, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_PROPANE_LD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_LH_PROPANE_LD,Construction,truck,"lorry production, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_BIODIESEL_B100_MD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_BIODIESEL_B100_MD,Construction,truck,"lorry production, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_BIODIESEL_B100_SD,Construction,truck,"lorry production, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_BIODIESEL_B100_SD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_BIODIESEL_B20_MD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_BIODIESEL_B20_MD,Construction,truck,"lorry production, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_BIODIESEL_B20_SD,Construction,truck,"lorry production, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_BIODIESEL_B20_SD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_CNG_MD,Construction,truck,"lorry production, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_CNG_MD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_CNG_SD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_CNG_SD,Construction,truck,"lorry production, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_CSNG_MD,Construction,truck,"lorry production, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_CSNG_MD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_CSNG_SD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_CSNG_SD,Construction,truck,"lorry production, compressed gas, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_DIESEL_MD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_DIESEL_MD,Construction,truck,"lorry production, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_DIESEL_SD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_DIESEL_SD,Construction,truck,"lorry production, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_EV_MD,Construction,truck,"lorry production, battery electric, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_EV_MD,Operation,"transport, freight, lorry","transport, freight, lorry, battery electric, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_EV_SD,Operation,"transport, freight, lorry","transport, freight, lorry, battery electric, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_EV_SD,Construction,truck,"lorry production, battery electric, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_GASOLINE_MD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_GASOLINE_MD,Construction,truck,"lorry production, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_GASOLINE_SD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_GASOLINE_SD,Construction,truck,"lorry production, diesel, 18 metric ton","image, remind, message, tiam-ucl"
TRUCK_SH_HY_DIESEL_MD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel hybrid, 18 metric ton","image, remind, message, tiam-ucl"
