Name,Type,Product,Activity,Database
SEMI_LH_BIODIESEL_B100_ELD,Construction,truck,"lorry production, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_BIODIESEL_B100_LD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_BIODIESEL_B100_LD,Construction,truck,"lorry production, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_BIODIESEL_B20_ELD,Construction,truck,"lorry production, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_BIODIESEL_B20_ELD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_BIODIESEL_B20_LD,Construction,truck,"lorry production, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_BIODIESEL_B20_LD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_CNG_ELD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_CNG_ELD,Construction,truck,"lorry production, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_CNG_LD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_CNG_LD,Construction,truck,"lorry production, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_CSNG_ELD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_CSNG_ELD,Construction,truck,"lorry production, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_CSNG_LD,Operation,"transport, freight, lorry","transport, freight, lorry, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_CSNG_LD,Construction,truck,"lorry production, compressed gas, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_DIESEL_ELD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_DIESEL_ELD,Construction,truck,"lorry production, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_DIESEL_LD,Operation,"transport, freight, lorry","transport, freight, lorry, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_DIESEL_LD,Construction,truck,"lorry production, diesel, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_EV_ELD,Operation,"transport, freight, lorry","transport, freight, lorry, battery electric, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_EV_ELD,Construction,truck,"lorry production, battery electric, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_EV_LD,Operation,"transport, freight, lorry","transport, freight, lorry, battery electric, 26 metric ton","image, remind, message, tiam-ucl"
SEMI_LH_EV_LD,Construction,truck,"lorry production, battery electric, 26 metric ton","image, remind, message, tiam-ucl"
