# End-use demand parameters in matrix format
# Generated by write_matrix_dat.py

param end_uses_demand_year :=
["YEAR_2020",*,*]:	AGRICULTURE	EXPORT	HOUSEHOLDS	INDUSTRY	SERVICES	TRANSPORTATION	:=
ELECTRICITY_HV	0	0	0	79898.3551049891	0	0
ELECTRICITY_LV	0	0	17621.540045506277	0	13224.344490791336	0
ELECTRICITY_MV	1988.27	0	0	12643.234084838672	4147.711781634629	0
HEAT_HIGH_T	0	0	0	81456.12534275511	1254.8058600943411	0
HEAT_LOW_T_HW	121.73	0	14452.338858700827	678.0109584610608	3384.1369942737397	0
HEAT_LOW_T_SC	0	0	3102.072730160272	0	3497.277060895063	0
HEAT_LOW_T_SH	1095.58	0	60057.143936831235	3545.393994205074	24432.674493048562	0
LIGHTING	82.84	0	5363.547405806565	6402.236468264372	14169.018725129901	0
MOBILITY_FREIGHT_ELD	0	0	0	0	0	107800.73243118203
MOBILITY_FREIGHT_LD	0	0	0	0	0	21324.68289755593
MOBILITY_FREIGHT_MD	0	0	0	0	0	27757.366021124573
MOBILITY_FREIGHT_SD	3236.1	0	0	0	0	8765.238918318466
MOBILITY_PASSENGER_LD	0	0	0	0	0	62095.14209028445
MOBILITY_PASSENGER_MD	0	0	0	0	0	55403.55536077511
MOBILITY_PASSENGER_SD	0	0	0	0	0	63603.16620621301
["YEAR_2045",*,*]:	AGRICULTURE	EXPORT	HOUSEHOLDS	INDUSTRY	SERVICES	TRANSPORTATION	:=
ELECTRICITY_EHV	0	0	0	7938.759596544723	0	0
ELECTRICITY_EHV_EXPORT	0	35556.0	0	0	0	0
ELECTRICITY_HV	0	0	0	81738.33299290799	0	0
ELECTRICITY_LV	0	0	18042.103135080437	0	14249.940176823595	0
ELECTRICITY_MV	1988.27	0	0	12934.39491183338	4469.381813227636	0
HEAT_HIGH_T	0	0	0	83331.97709551366	1352.1205873246315	0
HEAT_LOW_T_HW	121.73	0	14797.264459204054	693.6248615219655	3646.5890428184634	0
HEAT_LOW_T_SC	0	0	3176.1081032383845	0	3768.503530306169	0
HEAT_LOW_T_SH	1095.58	0	61490.4930050652	3627.04081340086	26327.516659006196	0
LIGHTING	82.84	0	5491.556085084215	6549.673465175699	15267.877310515552	0
MOBILITY_FREIGHT_ELD	0	0	0	0	0	110232.54956967576
MOBILITY_FREIGHT_LD	0	0	0	0	0	21805.73463230482
MOBILITY_FREIGHT_MD	0	0	0	0	0	28383.529098937663
MOBILITY_FREIGHT_SD	3236.1	0	0	0	0	8962.969098288871
MOBILITY_PASSENGER_LD	0	0	0	0	0	61688.86337198132
MOBILITY_PASSENGER_MD	0	0	0	0	0	55041.05863875
MOBILITY_PASSENGER_SD	0	0	0	0	0	63187.02072403166
["YEAR_2050",*,*]:	AGRICULTURE	EXPORT	HOUSEHOLDS	INDUSTRY	SERVICES	TRANSPORTATION	:=
ELECTRICITY_EHV	0	0	0	8153.2166734663	0	0
ELECTRICITY_EHV_EXPORT	0	35556.0	0	0	0	0
ELECTRICITY_HV	0	0	0	83946.40640197444	0	0
ELECTRICITY_LV	0	0	18471.213740845506	0	15524.450234066539	0
