ES_name_ES_QC,param,YEAR_2020,YEAR_2050,Unit,Source,Technology name
COAL_US_CC,c_inv,7150,6127,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Ultra-supercritical Pulverized Coal + CCS (90%)
COAL_IGCC,c_inv,5025,4255,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Integrated.Gasification Combined.Cycle Coal
COAL_IGCC_CC,c_inv,3450,3075,euro/kw,"European Commission. (2020). *EU Reference Scenario 2020: Energy, transport, and GHG emissions trends to 2050*. Publications Office of the European Union. https://energy.ec.europa.eu/data-and-analysis/energy-modelling/eu-reference-scenario-2020_en",Integrated.Gasification Combined.Cycle Coal + CC
NUCLEAR,c_inv,6550,6037,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Advanced Reactor
GEOTHERMAL,c_inv,7036,6054,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Hydrothermal Binary Cycle Geothermal
ALKALINE_ELECTROLYSIS,c_inv,1194,562,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Alkaline Electrolysis
PEM_ELECTROLYSIS,c_inv,1194,562,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Polymer electrolyte membrane (PEM) electrolysis
SOEC_ELECTROLYSIS,c_inv,1194,562,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Solid Oxide Electrolysis Cell (SOEC)
SMR,c_inv,475,475,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Natural gas - Steam methane reforming
SMR_CCS,c_inv,1104,755,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Natural gas - Steam methane reforming - CCS
ATR_CCS,c_inv,1062,726,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,
NEW_HYDRO_DAM,c_inv,6238,5730,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,
NEW_HYDRO_RIVER,c_inv,4175,4175,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Large conventional dam Electricity Production
COAL_IGCC_CC,c_maint,69.8,61.925,euro/kw,"European Commission. (2020). *EU Reference Scenario 2020: Energy, transport, and GHG emissions trends to 2050*. Publications Office of the European Union. https://energy.ec.europa.eu/data-and-analysis/energy-modelling/eu-reference-scenario-2020_en",Integrated.Gasification Combined.Cycle Coal + CC
PV_ROOF,c_inv,1727,1028,$/kW,Institute of Energy Trottier. (2024). *Canadian Energy outlook *. Polytechnique Montreal. https://iet.polymtl.ca/wp-content/uploads/CEO3_2_PNZC_20240628.pdf,Solar - Rooftop PV
