ES_name_ESTD,ES_name_ES_QC
TRUCK_DIESEL,"TRUCK_SH_DIESEL, TRUCK_LH_DIESEL, TRUCK_SH_BIODIESEL_B20, TRUCK_SH_BIODIESEL_B100, TRUCK_LH_BIODIESEL_B20, TRUCK_LH_BIODIESEL_B100, TRUCK_SH_GASOLINE, TRUCK_LH_GASOLINE, TRUCK_SH_PROPANE, TRUCK_LH_PROPANE, SEMI_SH_DIESEL, SEMI_LH_DIESEL, SEMI_SH_BIODIESEL_B20, SEMI_SH_BIODIESEL_B100, SEMI_LH_BIODIESEL_B20, SEMI_LH_BIODIESEL_B100, SEMI_SH_GASOLINE, SEMI_LH_GASOLINE, SEMI_SH_PROPANE, SEMI_LH_PROPANE, LCV_DIESEL, LCV_BIODIESEL_B20, LCV_BIODIESEL_B100, LCV_GASOLINE, LCV_PROPANE, LCV_GASOLINE  "
TRUCK_ELEC,"TRUCK_SH_EV, TRUCK_LH_EV, SEMI_SH_EV, SEMI_LH_EV, LCV_EV, BUS_EV, SCHOOLBUS_EV, COACH_EV"
TRUCK_FUEL_CELL,"TRUCK_SH_FC_CH4, TRUCK_LH_FC_CH4, SEMI_SH_FC_CH4, SEMI_LH_FC_CH4, SEMI_SH_FC_H2, SEMI_LH_FC_H2, LCV_FC_CH4, LCV_FC_H2"
TRUCK_METHANOL,"LCV_ETOH_E10, LCV_ETOH_E85, LCV_BIOETOH_E10, LCV_BIOETOH_E85"
TRUCK_NG,"TRUCK_SH_CNG, TRUCK_LH_CNG, SEMI_SH_CNG, SEMI_LH_CNG, LCV_CNG, TRUCK_SH_CSNG, TRUCK_LH_CSNG, SEMI_SH_CSNG, SEMI_LH_CSNG, LCV_CSNG"
TS_DEC_ADVCOGEN_GAS,
TS_DEC_ADVCOGEN_H2,
TS_DEC_BOILER_GAS,
TS_DEC_BOILER_OIL,
TS_DEC_BOILER_WOOD,
TS_DEC_COGEN_GAS,
TS_DEC_COGEN_OIL,
TS_DEC_DIRECT_ELEC,
TS_DEC_HP_ELEC,
TS_DEC_THHP_GAS,
TS_DHN_SEASONAL,
URANIUM,URANIUM
WASTE,"WASTE, WASTE_BIO, WASTE_FOS"
WET_BIOMASS,WET_BIOMASS
WIND_OFFSHORE,WIND_OFFSHORE
WIND_ONSHORE,"WIND_ONSHORE, NEW_WIND_ONSHORE"
WOOD,WOOD
