Programming name,Short name,Long name,Category,Subcategory,Set,Unit_ref,,
CAR_BEV_MEDRANGE,Car BEV MR,Battery Electric Car with Medium Range,Private Mobility,Car,,pkm/h,,
CAR_BEV_MEDRANGE_LOCAL,Car BEV MR LO,Battery Electric Car with Medium Range for Local Use,Private Mobility,Car,CA,pkm/h,,
CAR_BEV_MEDRANGE_LONGD,Car BEV MR LD,Battery Electric Car with Medium Range for Long Distances,Private Mobility,Car,CA,pkm/h,,
CAR_BIODIESEL_B100,Car BioDiesel,100% BioDiesel-Powered Car,Private Mobility,Car,CA,pkm/h,,
CAR_BIODIESEL_B20,Car BioDiesel 20%,20% BioDiesel-Powered Car,Private Mobility,Car,,pkm/h,,
CAR_BIOETOH_E10,Car BioEthanol E10,BioEthanol-Powered Car (E10 Blend),Private Mobility,Car,,pkm/h,,
CAR_BIOETOH_E85,Car BioEthanol E85,BioEthanol-Powered Car with E85 Blend,Private Mobility,Car,CA,pkm/h,,
CAR_BIOMEOH,Car Biomethanol,Biomethanol-Powered Car ,Private Mobility,Car,,pkm/h,,
CAR_CNG,Car CNG,Compressed Natural Gas-Powered Car,Private Mobility,Car,,pkm/h,,
CAR_CSNG,Car CSNG,Compressed Synthetic Natural Gas-Powered Car,Private Mobility,Car,CA,pkm/h,,
CAR_DIESEL,Car Diesel,Diesel-Powered Car,Private Mobility,Car,,pkm/h,,
CAR_DIESEL_LOCAL,Car Diesel Local,Diesel-Powered Car for Local Use,Private Mobility,Car,,pkm/h,,
CAR_DIESEL_LONGD,Car Diesel LD,Diesel-Powered Car for Long Distances,Private Mobility,Car,,pkm/h,,
CAR_ETOH_E10,Car Ethanol E10,Ethanol-Powered Car (E10 Blend),Private Mobility,Car,,pkm/h,,
CAR_ETOH_E10_LOCAL,Car Ethanol E10 Local,Ethanol-Powered Car (E10 Blend) for Local Use,Private Mobility,Car,,pkm/h,,
CAR_ETOH_E10_LONGD,Car Ethanol E10 LD,Ethanol-Powered Car (E10 Blend) for Long Distances,Private Mobility,Car,,pkm/h,,
CAR_ETOH_E85,Car Ethanol E85,Ethanol-Powered Car with E85 Blend,Private Mobility,Car,CA,pkm/h,,
CAR_ETOH_E85_LOCAL,Car Ethanol E85  Local,Ethanol-Powered Car with E85 Blend for Local Use,Private Mobility,Car,,pkm/h,,
CAR_ETOH_E85_LONGD,Car Ethanol E85  LD,Ethanol-Powered Car with E85 Blend for Long Distances,Private Mobility,Car,,pkm/h,,
CAR_EV,Car Electric,Electric-Powered Car,Private Mobility,Car,,pkm/h,,
CAR_FC_CH4,Car Fuel Cell CH4,Fuel Cell-Powered Car with Methane,Private Mobility,Car,,pkm/h,,
CAR_FC_CH4_LOCAL,Car Fuel Cell CH4 Local,Fuel Cell-Powered Car with Methane for Local Use,Private Mobility,Car,,pkm/h,,
CAR_FC_CH4_LONGD,Car Fuel Cell CH4 LD,Fuel Cell-Powered Car with Methane for Long Distances,Private Mobility,Car,,pkm/h,,
CAR_FC_H2,Car Fuel Cell H2,Fuel Cell-Powered Car with Hydrogen,Private Mobility,Car,,pkm/h,,
CAR_FC_H2_LOCAL,Car Fuel Cell H2 Local,Fuel Cell-Powered Car with Hydrogen for Local Use,Private Mobility,Car,,pkm/h,,
CAR_FC_H2_LONGD,Car Fuel Cell H2 LD,Fuel Cell-Powered Car with Hydrogen for Long Distances,Private Mobility,Car,,pkm/h,,
CAR_FUEL_CELL,Car FC,Fuel Cell-Powered Car,Private Mobility,Car,,pkm/h,,
CAR_GASOLINE,Car Gasoline,Gasoline-Powered Car,Private Mobility,Car,,pkm/h,,
CAR_GASOLINE_LOCAL,Car Gasoline Local,Gasoline-Powered Car for Local Use,Private Mobility,Car,,pkm/h,,
CAR_GASOLINE_LONGD,Car Gasoline LD,Gasoline-Powered Car for Long Distances,Private Mobility,Car,,pkm/h,,
CAR_HEV,Car HEV,Hybrid Electric Car,Private Mobility,Car,,pkm/h,,
CAR_HEV_LOCAL,Car Hybrid Electric Local,Hybrid Electric Car for Local Use,Private Mobility,Car,,pkm/h,,
CAR_HEV_LONGD,Car Hybrid Electric Car LD,Hybrid Electric Car for Long Distances,Private Mobility,Car,CA,pkm/h,,
CAR_HY_GASOLINE,Car Hybrid Gasoline,Gasoline Hybrid Car,Private Mobility,Car,,pkm/h,,
CAR_MEOH,Car Methanol,Methanol-Powered Car ,Private Mobility,Car,,pkm/h,,
CAR_MEOH_LOCAL,Car Methanol Local,Methanol-Powered Car for Local Use,Private Mobility,Car,,pkm/h,,
CAR_MEOH_LONGD,Car Methanol  LD,Methanol-Powered Car for Long Distances,Private Mobility,Car,,pkm/h,,
CAR_NG,Car NG,Natural Gas-Powered Car,Private Mobility,Car,CA,pkm/h,,
CAR_NG_LOCAL,Car Natural Gas  Local,Natural Gas-Powered Car for Local Use,Private Mobility,Car,,pkm/h,,
