Programming name,Short name,Long name,Category,Subcategory,Set,Unit_ref,,
H2_EXP_ML,H2 Exp. ML,Hydrogen Expansion from Medium Pressure to Low Pressure,Infrastructure,Hydrogen,,kW,,
H2_EXP_ML_COGEN,H2 Exp. Cogen. ML,Hydrogen Expansion with Cogeneration from Medium Pressure to Low Pressure,Infrastructure,Hydrogen,,kW,,
H2_EXPANSION_100,H2 Exp. 100,Hydrogen Compression from 100 bar to Athmospheric Pressure,Infrastructure,Hydrogen,,kW,,
H2_EXPANSION_200,H2 Exp. 200,Hydrogen Compression from 200 bar to Athmospheric Pressure,Infrastructure,Hydrogen,,kW,,
H2_Haber_Bosch,Haber Bosch Process,Haber Bosch Process,Infrastructure,Amonia,,kW,,
H2_NG_CCGT,Combined Cycle Gas Turbine H2 & NG,Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix,Electricity Production,Hydrogen,,kW,,
H2_NG_CCGT_CCS,Combined Cycle Gas Turbine H2 & NG CC,Combined Cycle Gas Turbine Hydrogen and Natural Gas Mix with Carbon Capture,Electricity Production,Hydrogen,,kW,,
H2_SNG_CCGT,Combined Cycle Gas Turbine H2 & SNG,Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix,Electricity Production,Hydrogen,,kW,,
H2_SNG_CCGT_CCS,Combined Cycle Gas Turbine H2 & SNG CC,Combined Cycle Gas Turbine Hydrogen and Synthetic Natural Gas Mix with Carbon Capture,Electricity Production,Hydrogen,,kW,,
H2_STO,H2 to Storage,Hydrogen to Storage,Chemical Storage,Hydrogen,,kW,,
HEAT_HIGH_T,Heat (high temperature),Heat (high temperature),Flow,Flow,,kWh,,
HEAT_LOW_T_DECEN,Heat (low temperature),Heat (low temperature),Flow,Flow,,kWh,,
HP_H2_GRID,H2 Grid HP,Hydrogen Grid at High Pressure,Infrastructure Grid,Hydrogen,,,,
HP_NG_GRID,NG Grid HP,Natural Gas Grid at High Pressure,Infrastructure Grid,Natural Gas,,,,
HT_LT,HT to LT,High Temperature to Low Temperature Conversion,Infrastructure,Heat,,kW,,
HT_LT_DEC,HT to LT,High Temperature to Low Temperature Conversion in Decentralized Systems,Infrastructure,Heat,,kW,,
HV_GRID,Grid HV,Electric Grid at High Voltage,Infrastructure Grid,Electricity,,,,
HYDRO_DAM,Hydro Dam,Hydroelectric Dam,Electricity Production,Hydro,,kW,,
HYDRO_GAS,Hydroth. Gasification,Hydrothermal Gasification,Infrastructure,Synfuel,,kW,,
HYDRO_GAS_CHP,Hydroth. Gasification CHP,Hydrothermal Gasification with Combined Heat and Power,Infrastructure,Electricity,,kW,,
HYDRO_RIVER,Hydro River,Hydroelectric Power from River Flow,Electricity Production,Hydro,,kW,,
HYDRO_STORAGE,Hydro Storage,Hydraulic Storage,Electricity Storage,Electricity,CA,kWh,,
IND_BOILER_BIOGAS,Ind Boiler BioGas,Industrial Boiler with BioGas Combustion,Industrial Heating,Boiler,,kW,,
IND_BOILER_BIOOIL,Ind Boiler BioOil,Industrial Boiler with BioOil Combustion,Industrial Heating,Boiler,,kW,,
IND_BOILER_COAL,Ind Boiler Coal,Industrial Boiler with Coal Combustion,Industrial Heating,Boiler,,kW,,
IND_BOILER_GAS,Ind Boiler Gas,Industrial Boiler with Gas Combustion,Industrial Heating,Boiler,,kW,,
IND_BOILER_OIL,Ind Boiler Oil,Industrial Boiler with Oil Combustion,Industrial Heating,Boiler,,kW,MCHF/GWkm,
IND_BOILER_WASTE,Ind Boiler Waste,Industrial Boiler with Waste Combustion,Industrial Heating,Boiler,,kW,MCHF/GWkm,
IND_BOILER_WASTE_CC,Ind Boiler Waste CC,Industrial Boiler with Carbon Capture using Waste Combustion,Industrial Heating,Boiler,,kW,,
IND_BOILER_WOOD,Ind Boiler Wood,Industrial Boiler with Wood Combustion,Industrial Heating,Boiler,,kW,,
IND_COGEN_BIOGAS,Ind Cogen BioGas,Industrial Cogeneration with BioGas Combustion,Industrial Heating,Cogeneration,,kW,,
IND_COGEN_GAS,Ind Cogen Gas,Industrial Cogeneration with Gas Combustion,Industrial Heating,Cogeneration,,kW,,
IND_COGEN_WASTE,Ind Cogen Waste,Industrial Cogeneration using Waste Combustion,Industrial Heating,Cogeneration,,kW,,
IND_COGEN_WASTE_CC,Ind Cogen Waste CC,Industrial Cogeneration with Carbon Capture using Waste Combustion,Industrial Heating,Cogeneration,,kW,,
IND_COGEN_WOOD,Ind Cogen Wood,Industrial Cogeneration with Wood Combustion,Industrial Heating,Cogeneration,,kW,,
IND_DIRECT_ELEC,Ind Direct Elec,Industrial Direct Electricity Usage,Industrial Heating,Electricity,,kW,,
IND_HP_ELEC,Ind HP Elec,Industrial Heat Pump Electricity Usage,Industrial Heating,Electricity,,kW,,
JETFUEL,Jetfuel,Jetfuel,Resource,Resource,,kWh,,
LCV_BIODIESEL_B100,LCV BioDiesel,100% BioDiesel-Powered Light Commercial Vehicle,Freight transport,Road,CA,tkm/h,MCHF/GWkm,
LCV_BIODIESEL_B20,LCV BioDiesel 20%,20% BioDiesel-Powered Light Commercial Vehicle,Freight transport,Road,CA,tkm/h,MCHF/GWkm,
LCV_CNG,LCV CNG,Compressed Natural Gas-Powered Light Commercial Vehicle,Freight transport,Road,CA,tkm/h,MCHF/GWkm,
LCV_CSNG,LCV CSNG,Compressed Synthetic Natural Gas-Powered Light Commercial Vehicle,Freight transport,Road,CA,tkm/h,,
LCV_DIESEL,LCV Diesel,Diesel-Powered Light Commercial Vehicle,Freight transport,Road,CA,tkm/h,,
LCV_ETOH_E10,LCV Ethanol 10%,10% Ethanol-Powered Light Commercial Vehicle,Freight transport,Road,CA,tkm/h,,
LCV_ETOH_E85,LCV Ethanol 85%,85% Ethanol-Powered Light Commercial Vehicle,Freight transport,Road,CA,tkm/h,,
LCV_EV,LCV Electric,Electric-Powered Light Commercial Vehicle,Freight transport,Road,CA,tkm/h,,
LCV_FC_CH4,LCV Methane FC,Methane Fuel Cell-Powered Light Commercial Vehicle,Freight transport,Road,CA,tkm/h,,
LCV_FC_H2,LCV Hydrogen FC,Hydrogen Fuel Cell-Powered Light Commercial Vehicle,Freight transport,Road,CA,tkm/h,,
LCV_GASOLINE,LCV Gasoline,Gasoline-Powered Light Commercial Vehicle,Freight transport,Road,CA,tkm/h,,
LCV_PHEV_DIESEL,LCV Diesel,Diesel-Powered Light Commercial Vehicle,Freight transport,Road,CA,tkm/h,,
LCV_PHEV_GASOLINE,LCV Plug-in Hybrid Gasoline,Plug-in Hybrid Gasoline-Powered Light Commercial Vehicle,Freight transport,Road,,tkm/h,,
LCV_PROPANE,LCV Propane,Propane-Powered Light Commercial Vehicle,Freight transport,Road,CA,tkm/h,,
LFO,Light fuel oil,Light fuel oil,Resource,Resource,,kWh,,
LNG,Liquified natural gas,Liquified natural gas,Resource,Resource,,kWh,,
LP_H2_GRID,H2 Grid LP,Hydrogen Grid at Low Pressure,Infrastructure Grid,Hydrogen,,,,
LP_NG_GRID,NG Grid LP,Natural Gas Grid at Low Pressure,Infrastructure Grid,Natural Gas,,,,
LT_DEC_WH,LT DEC WH,Low Temperature Decentralized Waste Heat,Waste Heat,Heat,,kW,,
LT_DHN_WH,LT DHN WH,Low Temperature District Heating Network Waste Heat,Waste Heat,Heat,,kW,,
LV_GRID,Grid LV,Electric Grid at Low Voltage,Infrastructure Grid,Electricity,,,,
METATHESIS_PROPYLENE,Metathesis Propylene,Propylene Production via Metathesis,Bioprocesses,Chemical,,kW,,
METHANATION,Methanation,Methanation Process,Bioprocesses,Synfuel,,kW,,
METHANE_TO_METHANOL,Methane to Methanol,Conversion of Methane to Methanol,Specific sectors,Chemical,,kt/h,,
METHANOL,Methanol,Methanol,Resource,Resource,,kWh,,
METHANOL_CARBONYLATION,Methanol Cabonylation,Methanol Cabonylation Process,Specific sectors,Chemical,,kt/h,,
METHANOL_FT,Methanol Fischer-Tropsch,Methanol Synthesis via Fischer-Tropsch Process,Specific sectors,Chemical,,kt/h,,
METHANOL_TO_AROMATICS,Methanol to Aromatics,Conversion of Methanol to Aromatic Compounds,Bioprocesses,Chemical,,kW,,
METHANOL_TO_OLEFINS,Methanol to Olefins,Conversion of Methanol to Olefinic Compounds,Bioprocesses,Chemical,,kW,,
MINES_STORAGE,Mines Storage,Sequestration of CO2 in Mines,CCUS,Sequestration,,ktCO2_eq/h,,
MOB_FREIGHT_LCV,Freight mobility (light commercial vehicles),Freight mobility (light commercial vehicles),Flow,Flow,,tkm,,
MOB_FREIGHT_SEMI,Freight mobility (semi),Freight mobility (semi),Flow,Flow,,tkm,,
MOB_FREIGHT_TRAIN,Freight mobility (trains),Freight mobility (trains),Flow,Flow,,tkm,,
MOB_FREIGHT_TRUCK,Freight mobility (trucks),Freight mobility (trucks),Flow,Flow,,tkm,,
MOB_PRIVATE_CAR,Private mobility (cars),Private mobility (cars),Flow,Flow,,pkm,,
MOB_PRIVATE_SUV,Private mobility (SUVs),Private mobility (SUVs),Flow,Flow,,pkm,,
MOB_PUBLIC_BUS,Public mobility (buses),Public mobility (buses),Flow,Flow,,pkm,,
MOB_PUBLIC_COACH,Public mobility (coaches),Public mobility (coaches),Flow,Flow,,pkm,,
MOB_PUBLIC_TRAIN,Public mobility (trains),Public mobility (trains),Flow,Flow,,pkm,,
MP_H2_GRID,H2 Grid MP,Hydrogen Grid at Medium Pressure,Infrastructure Grid,Hydrogen,,,,
MP_NG_GRID,NG Grid MP,Natural Gas Grid at Medium Pressure,Infrastructure Grid,Natural Gas,,,,
MV_GRID,Grid MV,Electric Grid at Medium Voltage,Infrastructure Grid,Electricity,,,,
NEW_HYDRO_DAM,New Hydro Dam,New Hydroelectric Dam,Electricity Production,Hydro,,kW,,
NEW_HYDRO_RIVER,New Hydro River,New Hydroelectric Power from River Flow,Electricity Production,Hydro,,kW,,
NEW_WIND_ONSHORE,Wind Onshore,New Wind Energy Onshore,Electricity Production,Wind,,kW,,
NG_COMP_HE,NG Comp. HE,Natural Gas Compression from High Pressure to Extra High Pressure,Infrastructure,Natural Gas,,kW,,
NG_COMP_LM,NG Comp. LM,Natural Gas Compression from Low Pressure to Medium Pressure,Infrastructure,Natural Gas,,kW,,
NG_COMP_MH,NG Comp. MH,Natural Gas Compression from Medium Pressure to High Pressure,Infrastructure,Natural Gas,,kW,,
NG_EHP,Natural gas,Natural gas,Resource,Resource,,kWh,,
NG_EXP_EH,NG Exp. EH,Natural Gas Expansion from Extra High Pressure to High Pressure,Infrastructure,Natural Gas,,kW,,
NG_EXP_EH_COGEN,NG Exp. Cogen. EH,Natural Gas Expansion with Cogeneration from Extra High Pressure to High Pressure,Infrastructure,Natural Gas,,kW,,
NG_EXP_HM,NG Exp. HM,Natural Gas Expansion from High Pressure to Medium Pressure,Infrastructure,Natural Gas,,kW,,
NG_EXP_HM_COGEN,NG Exp. Cogen. HM,Natural Gas Expansion with Cogeneration from High Pressure to Medium Pressure,Infrastructure,Natural Gas,,kW,,
NG_EXP_ML,NG Exp. ML,Natural Gas Expansion from Medium Pressure to Low Pressure,Infrastructure,Natural Gas,,kW,,
NG_EXP_ML_COGEN,NG Exp. Cogen. ML,Natural Gas Expansion with Cogeneration from Medium Pressure to Low Pressure,Infrastructure,Natural Gas,,kW,,
NG_GEN,Natural Gas Generator,Natural Gas Powered Generator,Electricity Production,Thermal,,kW,,
NG_PYROLYSIS_PLASMA,Plasma Natural Gas Pyrolysis,Plasma Natural Gas Pyrolysis,Hydrogen Production,Hydrogen,,kW,,
NG_PYROLYSIS_THERMAL,Thermal Natural Gas Pyrolysis,Thermal Natural Gas Pyrolysis,Hydrogen Production,Hydrogen,,kW,,
NG_REFORMING,NG Reforming,Natural Gas Reforming,Infrastructure,Natural Gas,,kW,,
NG_STO,NG to Storage,Natural Gas to Storage,Chemical Storage,Natural Gas,,kW,,
NUCLEAR,Nuclear,Nuclear Power Generation,Electricity Production,Nuclear,,kW,,
OCGT_BIOGAS_LARGE,OCGT BioGas Large,Open Cycle BioGas Turbine 243 MW,Electricity Production,Thermal,,kW,,
OCGT_BIOGAS_SMALL,OCGT BioGas Small,Open Cycle BioGas Turbine 100 MW,Electricity Production,Thermal,,kW,,
OCGT_LARGE,OCGT Large,Open Cycle Gas Turbine 243 MW,Electricity Production,Thermal,,kW,,
OCGT_SMALL,OCGT Small,Open Cycle Gas Turbine 100 MW,Electricity Production,Thermal,,kW,,
PAFC,PAFC,Phosphoric Acid Fuel Cell,Electricity Production,Hydrogen,,kW,,
PAFC_OG,PAFC OG,Phosphoric Acid Fuel Cell Off-Grid,Electricity Production,Hydrogen,,kW,,
PAPER,Paper,Paper,Flow,Flow,,kt,,
PAPER_MAKING,Paper Making,Paper Production,Specific sectors,Paper,,kt/h,,
PAPER_MAKING_HP,Paper Making HP,Paper Production with Heat Pump,Specific sectors,Paper,,kt/h,,
PAPER_MAKING_HR,Paper Making HR,Paper Production with Heat Recovery,Specific sectors,Paper,,kt/h,,
PE,Polyethylene,Polyethylene,Resource,Resource,,kt,,
PEM_ELECTROLYSIS,PEM Electrolysis,Proton Exchange Membrane Electrolysis,Bioprocesses,Hydrogen,,kW,,
PEMEC_OG,PEM Electrolysis OG,Proton Exchange Membrane Electrolysis Off-Grid,Hydrogen Production,Hydrogen,,kW,,
PEMFC,PEM FC,Proton Exchange Membrane Fuel Cell,Electricity Production,Hydrogen,,kW,,
PEMFC_OG,PEM FC OG,Proton Exchange Membrane Fuel Cell Off-Grid,Electricity Production,Hydrogen,,kW,,
PET,Polyethylene terephthalate,Polyethylene terephthalate,Resource,Resource,,kt,,
PET_FORMATION,PET Formation,Polyethylene Terephthalate Formation,Specific sectors,Chemical,,kt/h,,
PHENOL,Phenol,Phenol,Resource,Resource,,kt,,
PLANE,Plane,Airplane,Public Mobility,Air,,pkm/h,,
PLANE_FREIGHT,Plane Freight,Plane Freight,Freight transport,Air,CA,tkm/h,,
PLANE_FREIGHT_BIO,Bio-Jet Fuel-Powered Freight Plane,Bio-Jet Fuel-Powered Freight Plane,Freight transport,Air,,tkm/h,,
PLANE_LH,Plane long haul,Passenger Plane long haul,Public Mobility,Air,,pkm/h,,
PLANE_LH_BIO,Bio-Jet Fuel-Powered Long Haul Passenger Plane,Bio-Jet Fuel-Powered Long Haul Passenger Plane,Public Mobility,Air,,pkm/h,,
PLANE_SH,Plane short haul,Passenger Plane short haul,Public Mobility,Air,,pkm/h,,
PLANE_SH_BIO,Bio-Jet Fuel-Powered Short Haul Passenger Plane,Bio-Jet Fuel-Powered Short Haul Passenger Plane,Public Mobility,Air,,pkm/h,,
POLYPROPYLENE_PP,Polypropylene PP,Polypropylene Production,Specific sectors,Chemical,,kt/h,,
PP,Polypropylene,Polypropylene,Resource,Resource,,kt,,
PROPANE,Propane,Propane,Resource,Resource,,kt,,
PROPYLENE,Propylene,Propylene,Resource,Resource,,kt,,
PS,Polystyrene,Polystyrene,Resource,Resource,,kt,,
PUMPED_HYDRO,Pumped Hydro,Pumped Hydro Power Plant,Electricity Production,Hydro,,kW,,
PV_GROUND,PV_GROUND,Open Ground Photovoltaic Solar Energy,Electricity Production,Solar,,kW,,
PV_ROOF,PV_ROOF,Slanted-Roof Photovoltaic Solar Energy,Electricity Production,Solar,,kW,,
PVC,Polyvinyl chloride,Polyvinyl chloride,Resource,Resource,,kt,,
PVC_FORMATION,PVC Formation,Polyvinyl Chloride Formation,Specific sectors,Chemical,,kt/h,,
PYROLYSIS,Pyrolysis,Pyrolysis Process,Bioprocesses,Synfuel,,kW,,
SCHOOLBUS_BIODIESEL_B100,School Bus BioDiesel,100% BioDiesel-Powered School Bus,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_BIODIESEL_B20,School Bus BioDiesel 20%,20% BioDiesel-Powered School Bus,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_BIOETOH_E10,School Bus BioEthanol 10%,10% BioEthanol-Powered School Bus,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_CNG,School Bus CNG,Compressed Natural Gas-Powered School Bus,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_CSNG,School Bus CSNG,Compressed Synthetic Natural Gas-Powered School Bus,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_DIESEL,School Bus Diesel,Diesel-Powered School Bus,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_ETOH_E10,School Bus Ethanol 10%,10% Ethanol-Powered School Bus,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_EV,School Bus Electric,Electric-Powered School Bus,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_FC_CH4,School Bus Methane FC,Methane Fuel Cell-Powered School Bus,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_GASOLINE,School Bus Gasoline,Gasoline-Powered School Bus,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_HY_DIESEL,School Bus Hybrid Diesel,Diesel Hybrid School Bus,Public Mobility,Road,CA,pkm/h,,
SCHOOLBUS_PROPANE,School Bus Propane,Propane-Powered School Bus,Public Mobility,Road,,pkm/h,,
SEMI_LH_BIODIESEL_B100,Semi BioDiesel LD,100% BioDiesel-Powered Long Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_LH_BIODIESEL_B20,Semi BioDiesel 20% LD,20% BioDiesel-Powered Long Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_LH_CNG,Semi CNG LD,Compressed Natural Gas-Powered Long Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_LH_CSNG,Semi CSNG LD,Compressed Synthetic Natural Gas-Powered Long Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_LH_DIESEL,Semi Diesel LD,Diesel-Powered Long Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_LH_EV,Semi Electric LD,Electric-Powered Long Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_LH_FC_CH4,Semi Methane FC LD,Methane Fuel Cell-Powered Long Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_LH_FC_H2,Semi Hydrogen FC LD,Hydrogen Fuel Cell-Powered Long Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_LH_HY_DIESEL,Semi Hybrid Diesel LD,Diesel Hybrid Long Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_LH_PROPANE,Semi Propane LD,Propane-Powered Long Distance Semi-trailer truck,Freight transport,Road,,tkm/h,,
SEMI_SH_BIODIESEL_B100,Semi BioDiesel SD,100% BioDiesel-Powered Short Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_SH_BIODIESEL_B20,Semi BioDiesel 20% SD,20% BioDiesel-Powered Short Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_SH_CNG,Semi CNG SD,Compressed Natural Gas-Powered Short Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_SH_CSNG,Semi CSNG SD,Compressed Synthetic Natural Gas-Powered Short Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_SH_DIESEL,Semi Diesel SD,Diesel-Powered Short Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_SH_EV,Semi Electric SD,Electric-Powered Short Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_SH_FC_CH4,Semi Methane FC SD,Methane Fuel Cell-Powered Short Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_SH_FC_H2,Semi Hydrogen FC SD,Hydrogen Fuel Cell-Powered Short Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_SH_HY_DIESEL,Semi Hybrid Diesel SD,Diesel Hybrid Short Distance Semi-trailer truck,Freight transport,Road,CA,tkm/h,,
SEMI_SH_PROPANE,Semi Propane SD,Propane-Powered Short Distance Semi-trailer truck,Freight transport,Road,,tkm/h,,
SMART_PROCESS,Smart Processes,Implementation of SMART Process from ethylbenzene to styrene,Specific sectors,Chemical,,kt/h,,
SMR,Steam Methane Reforming,Steam Methane Reforming,Hydrogen Production,Hydrogen,,kW,,
SMR_CCS,Steam Methane Reforming CC,Steam Methane Reforming with Carbon Capture,Hydrogen Production,Hydrogen,,kW,,
SNG_COMP_HE,SNG Comp. HE,Synthetic Natural Gas Compression from High Pressure to Extra High Pressure,Infrastructure,Natural Gas,,kW,,
SNG_COMP_LM,SNG Comp. LM,Synthetic Natural Gas Compression from Low Pressure to Medium Pressure,Infrastructure,Natural Gas,,kW,,
SNG_COMP_MH,SNG Comp. MH,Synthetic Natural Gas Compression from Medium Pressure to High Pressure,Infrastructure,Natural Gas,,kW,,
SNG_EHP,Synthetic natural gas,Synthetic natural gas,Resource,Resource,,kWh,,
SNG_EXP_EH,SNG Exp. EH,Synthetic Natural Gas Expansion from Extra High Pressure to High Pressure,Infrastructure,Natural Gas,,kW,,
SNG_EXP_EH_COGEN,SNG Exp. Cogen. EH,Synthetic Natural Gas Expansion with Cogeneration from Extra High Pressure to High Pressure,Infrastructure,Natural Gas,,kW,,
SNG_EXP_HM,SNG Exp. HM,Synthetic Natural Gas Expansion from High Pressure to Medium Pressure,Infrastructure,Natural Gas,,kW,,
SNG_EXP_HM_COGEN,SNG Exp. Cogen. HM,Synthetic Natural Gas Expansion with Cogeneration from High Pressure to Medium Pressure,Infrastructure,Natural Gas,,kW,,
SNG_EXP_ML,SNG Exp. ML,Synthetic Natural Gas Expansion from Medium Pressure to Low Pressure,Infrastructure,Natural Gas,,kW,,
SNG_EXP_ML_COGEN,SNG Exp. Cogen. ML,Synthetic Natural Gas Expansion with Cogeneration from Medium Pressure to Low Pressure,Infrastructure,Natural Gas,,kW,,
SNG_NG,SNG production,Conversion of Synthetic Natural Gas to Natural Gas,Bioprocesses,Synfuel,,kW,,
SNG_PYROLYSIS_PLASMA,Plasma Synthetic Natural Gas Pyrolysis,Plasma Synthetic Natural Gas Pyrolysis,Hydrogen Production,Hydrogen,,kW,,
SNG_PYROLYSIS_THERMAL,Thermal Synthetic Natural Gas Pyrolysis,Thermal Synthetic Natural Gas Pyrolysis,Hydrogen Production,Hydrogen,,kW,,
SNG_REFORMING,SNG Reforming,Synthetic Natural Gas Reforming,Infrastructure,Natural Gas,,kW,,
SNG_STO,SNG to Storage,Synthetic Natural Gas to Storage,Chemical Storage,Natural Gas,,kW,,
SOEC_ELECTROLYSIS,SOEC Electrolysis,Solid Oxide Electrolysis Cell Electrolysis,Bioprocesses,Hydrogen,,kW,,
SOEC_OG,SOEC Electrolysis OG,Solid Oxide Electrolysis Cell Electrolysis Off-Grid,Hydrogen Production,Hydrogen,,kW,,
SOFC,SOFC,Solid Oxide Fuel Cell,Electricity Production,Hydrogen,,kW,,
SOFC_OG,SOFC OG,Solid Oxide Fuel Cell Off-Grid,Electricity Production,Hydrogen,,kW,,
STEEL,Steel,Steel,Flow,Flow,,kt,,
STEEL_MAKING,Steel Making,Steel Production,Specific sectors,Steel,,kt/h,,
STEEL_MAKING_HP,Steel Making HP,Steel Production with Heat Pump,Specific sectors,Steel,,kt/h,,
STEEL_MAKING_HR,Steel Making HR,Steel Production with Heat Recovery,Specific sectors,Steel,,kt/h,,
STEEL_MAKING_ORC,Steel Making ORC,Steel Production with Organic Rankine Cycle,Specific sectors,Steel,,kt/h,,
STO_CO2,CO2 Storage (output),CO2 Storage (output),CCUS,Storage,,ktCO2_eq/h,,
STO_DIE,Storage to Diesel,Storage to Diesel,Chemical Storage,Fuel,,kW,,
STO_ELEC,Storage Elec.,Storage Electricity,Electricity Storage,Electricity,CA,kW,,
STO_GASO,Storage to Gasoline,Storage to Gasoline,Chemical Storage,Fuel,,kW,,
STO_H2,Storage to H2,Storage to Hydrogen,Chemical Storage,Hydrogen,,kW,,
STO_NG,Storage to NG,Storage to Natural Gas,Chemical Storage,Natural Gas,,kW,,
STYRENE,Styrene,Styrene,Resource,Resource,,kWh,,
STYRENE_POLYMERIZATION,Styrene Polymerization,Styrene Polymerization Process,Specific sectors,Chemical,,kt/h,,
SUV_BIODIESEL_B100,SUV BioDiesel,100% BioDiesel-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_BIODIESEL_B20,SUV BioDiesel 20%,20% BioDiesel-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_BIOETOH_E10,SUV BioEthanol 10%,10% BioEthanol-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_BIOETOH_E85,SUV BioEthanol 85%,85% BioEthanol-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_CNG,SUV CNG,Compressed Natural Gas-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_CSNG,SUV CSNG,Compressed Synthetic Natural Gas-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_DIESEL,SUV Diesel,Diesel-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_ETOH_E10,SUV Ethanol 10%,10% Ethanol-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_ETOH_E85,SUV Ethanol 85%,85% Ethanol-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_EV,SUV Electric,Electric-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_FC_CH4,SUV Methane FC,Methane Fuel Cell-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_FC_H2,SUV Hydrogen FC,Hydrogen Fuel Cell-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_GASOLINE,SUV Gasoline,Gasoline-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_HY_GASOLINE,SUV Hybrid Gasoline,Gasoline Hybrid Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_PHEV_GASOLINE,SUV Plug-in Hybrid Gasoline,Plug-in Hybrid Gasoline-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
SUV_PROPANE,SUV Propane,Propane-Powered Sport Utility Vehicle,Private Mobility,Car,CA,pkm/h,,
TIDAL,Tidal,Tidal power,Electricity Production,Hydro,,kW,,
TOLUENE,Toluene,Toluene,Resource,Resource,,kWh,,
TRAFO_EH,Transformer EH,Extra High to High Voltage Transformer,Infrastructure,Electricity,,kW,,
TRAFO_HE,Transformer HE,High to Extra High Voltage Transformer,Infrastructure,Electricity,,kW,,
TRAFO_HM,Transformer HM,High to Medium Voltage Transformer,Infrastructure,Electricity,,kW,,
TRAFO_LM,Transformer LM,Low to Medium Voltage Transformer,Infrastructure,Electricity,,kW,,
TRAFO_MH,Transformer MH,Medium to High Voltage Transformer,Infrastructure,Electricity,,kW,,
TRAFO_ML,Transformer ML,Medium to Low Voltage Transformer,Infrastructure,Electricity,,kW,,
TRAIN_BIODIESEL,Train BioDiesel,BioDiesel-Powered Train,Public Mobility,Rail,,pkm/h,,
TRAIN_DIESEL,Train Diesel,Diesel-Powered Train,Public Mobility,Rail,,pkm/h,,
TRAIN_ELEC,Train Electric,Electric-Powered Train,Public Mobility,Rail,,pkm/h,,
TRAIN_FREIGHT,Train Freight Elec,Electric-Powered Freight Train,Freight transport,Rail,,tkm/h,,
TRAIN_FREIGHT_BIODIESEL,Train Freight Biodiesel,Biodiesel-Powered Freight Train,Freight transport,Rail,,tkm/h,,
TRAIN_FREIGHT_DIESEL,Train Freight Diesel,Diesel-Powered Freight Train,Freight transport,Rail,,tkm/h,,
TRAIN_FREIGHT_ELEC,Train Freight Elec,Electric-Powered Freight Train,Freight transport,Rail,,tkm/h,,
