Name,Flow,Amount
BIO_ETHANOL,CO2_E,-0.2579384463
BULK_CARRIER_BIOMEOH_ELD,BIO_METHANOL,-0.0606
BULK_CARRIER_BIOMEOH_ELD,CO2_E,0.040535999999999996
BULK_CARRIER_BIOMEOH_ELD,MOB_FREIGHT_ELD,1.0
BULK_CARRIER_BIO_ELD,BIO_HFO,-0.0606
BULK_CARRIER_BIO_ELD,CO2_E,0.04504
BULK_CARRIER_BIO_ELD,MOB_FREIGHT_ELD,1.0
BULK_CARRIER_ELD,CO2_E,0.04504
BULK_CARRIER_ELD,HFO,-0.0606
BULK_CARRIER_ELD,MOB_FREIGHT_ELD,1.0
BULK_CARRIER_MEOH_ELD,CO2_E,0.040535999999999996
BULK_CARRIER_MEOH_ELD,METHANOL,-0.0606
BULK_CARRIER_MEOH_ELD,MOB_FREIGHT_ELD,1.0
BUS_BIODIESEL_B100_SD,BIO_DIESEL,-0.3273228571236837
BUS_BIODIESEL_B100_SD,CO2_E,0.09375999999450786
BUS_BIODIESEL_B100_SD,MOB_PUBLIC_SD,1.0
BUS_BIODIESEL_B20_SD,BIO_DIESEL,-0.06529714285331797
BUS_BIODIESEL_B20_SD,CO2_E,0.09292285713741404
BUS_BIODIESEL_B20_SD,DIESEL,-0.2620257142703657
BUS_BIODIESEL_B20_SD,MOB_PUBLIC_SD,1.0
BUS_CNG_SD,CO2_E,0.07667857164360017
BUS_CNG_SD,MOB_PUBLIC_SD,1.0
BUS_CNG_SD,NG_HP,-0.36967142960809346
BUS_CSNG_SD,CO2_E,0.07667857164360017
BUS_CSNG_SD,MOB_PUBLIC_SD,1.0
BUS_CSNG_SD,SNG_HP,-0.36967142960809346
BUS_DIESEL_SD,CO2_E,0.09292285713741404
BUS_DIESEL_SD,DIESEL,-0.3273228571236837
BUS_DIESEL_SD,MOB_PUBLIC_SD,1.0
BUS_EV_SD,ELECTRICITY_MV,-0.12218142861741843
BUS_EV_SD,MOB_PUBLIC_SD,1.0
BUS_FC_H2_SD,H2_HP,-0.1593185716845111
BUS_FC_H2_SD,MOB_PUBLIC_SD,1.0
